,Etot,1-4EEL,EELEC,EGB,ESURF,name
0,-320.1633,-158.821,-96.6715,-69.1305,4.4598,1a1e-lig-gb.txt
0,-207.7809,361.9486,-412.9918,-159.7143,2.9765,1a30-lig-gb.txt
0,-73.4878,18.8228,-43.8491,-50.6504,2.189,1a69-lig-gb.txt
0,-94.0834,-21.7662,-32.423,-41.8997,2.0055,1a8i-lig-gb.txt
0,-5.9791,-0.8813,-4.4308,-2.2293,1.5623,1a99-lig-gb.txt
0,-95.0195,-43.878,-15.0275,-38.4353,2.3214,1add-lig-gb.txt
0,-183.9027,-66.6561,-74.2768,-44.5669,1.5971,1ado-lig-gb.txt
0,-974.0349,-1299.2809,431.3242,-109.2461,3.1679,1afl-lig-gb.txt
0,-24.6698,-24.8059,9.2827,-10.4441,1.2975,1ai7-lig-gb.txt
0,-138.5525,69.7855,-175.9483,-36.7057,4.316,1ajv-lig-gb.txt
0,-53.66,81.6438,-105.9202,-33.4653,4.0817,1ajx-lig-gb.txt
0,-771.2255,-1127.9266,419.9111,-66.0213,2.8113,1amw-lig-gb.txt
0,-39.9454,194.4253,-194.81,-43.6326,4.0719,1apv-lig-gb.txt
0,-53.9456,100.8809,-118.8853,-37.9939,2.0526,1ax0-lig-gb.txt
0,30.8256,386.2847,-323.9215,-35.1077,3.5701,1b05-lig-gb.txt
0,34.126,375.0597,-310.3909,-34.8367,4.2939,1b0h-lig-gb.txt
0,-52.2796,403.1676,-357.4168,-102.2447,4.2143,1b1h-lig-gb.txt
0,27.5524,366.7118,-306.2006,-36.8889,3.93,1b32-lig-gb.txt
0,40.3909,373.8779,-307.1009,-30.1644,3.7782,1b3g-lig-gb.txt
0,-48.8671,396.2307,-351.8235,-97.4141,4.1398,1b3h-lig-gb.txt
0,26.5502,365.5711,-307.6735,-34.7001,3.3527,1b3l-lig-gb.txt
0,30.5525,372.6181,-310.8226,-35.2529,4.0099,1b40-lig-gb.txt
0,49.8987,361.4961,-283.8901,-31.2828,3.5755,1b46-lig-gb.txt
0,29.379,349.4447,-283.1829,-40.3727,3.4898,1b51-lig-gb.txt
0,-62.8063,386.4654,-354.0618,-98.8338,3.6239,1b52-lig-gb.txt
0,-892.212,-454.9239,-277.7142,-162.3472,2.7733,1b55-lig-gb.txt
0,-31.3234,311.1046,-304.3561,-41.7989,3.727,1b5i-lig-gb.txt
0,-35.6408,318.9318,-313.0601,-45.3482,3.8357,1b5j-lig-gb.txt
0,37.6246,369.9287,-304.862,-31.1961,3.754,1b6h-lig-gb.txt
0,33.9678,374.3699,-310.873,-33.4664,3.9372,1b7h-lig-gb.txt
0,-210.5855,-167.2974,-1.4346,-44.1849,2.3313,1b8n-lig-gb.txt
0,35.3292,373.5651,-308.2159,-33.8656,3.8457,1b9j-lig-gb.txt
