,Etot,VDWAALS,EELEC,EPB,ECAVITY,name
0,-18544.8921,-1901.04,-13366.9577,-3333.0961,56.2103,1a1e-pro-pb.txt
0,-17583.2732,-1777.04,-13675.6929,-2179.8309,49.2906,1a30-pro-pb.txt
0,-128115.241,-13888.75,-98137.7363,-16308.6232,219.87,1a69-pro-pb.txt
0,-145458.0355,-17349.36,-116473.3084,-11904.6104,269.2525,1a8i-pro-pb.txt
0,-62802.5035,-5088.0,-50167.3662,-7678.5322,131.4023,1a99-pro-pb.txt
0,-33006.7662,-3539.77,-25074.9721,-4459.4944,67.4707,1add-pro-pb.txt
0,-131489.1486,-14279.52,-105183.9682,-12287.757,262.1008,1ado-pro-pb.txt
0,-8124.6694,2204.86,-8584.8641,-1780.0595,35.391,1afl-pro-pb.txt
0,-68873.0693,-7674.29,-55168.0693,-6170.1682,139.4613,1ai7-pro-pb.txt
0,-17582.4132,-1733.63,-13895.4728,-2002.3085,48.9985,1ajv-pro-pb.txt
0,-17523.8126,-1734.95,-13861.7579,-1976.1042,49.0092,1ajx-pro-pb.txt
0,-40277.2984,-4099.76,-30080.5129,-6191.4747,94.4524,1amw-pro-pb.txt
0,,-2134.9,-19691.0842,-6067.9732,63.4742,1apv-pro-pb.txt
0,-42155.7032,-4513.25,-31535.8612,-6205.7025,99.1117,1ax0-pro-pb.txt
0,-48473.2987,-4465.27,-39251.6786,-4852.9521,96.6088,1b05-pro-pb.txt
0,-48519.3941,-4443.47,-39199.4058,-4975.5075,98.9961,1b0h-pro-pb.txt
0,-48372.9966,-4539.72,-39200.5096,-4731.1028,98.3445,1b1h-pro-pb.txt
0,-48333.2581,-4555.03,-38899.7973,-4976.118,97.6937,1b32-pro-pb.txt
0,-48529.8992,-4445.82,-39308.2121,-4874.5295,98.6717,1b3g-pro-pb.txt
0,-48497.7995,-4463.19,-39213.3636,-4919.416,98.1701,1b3h-pro-pb.txt
0,-48253.9024,-4416.02,-38748.8743,-5189.4715,100.4655,1b3l-pro-pb.txt
0,-48453.0152,-4472.49,-39104.0994,-4973.439,97.0197,1b40-pro-pb.txt
0,-48500.6881,-4473.07,-38972.9207,-5152.2608,97.5707,1b46-pro-pb.txt
0,-48482.5464,-4454.42,-39173.0096,-4953.6658,98.5561,1b51-pro-pb.txt
0,-48062.5256,-4423.21,-39010.0434,-4726.55,97.2821,1b52-pro-pb.txt
0,,-5167.44,-39193.9786,-14099.6621,167.6245,1b55-pro-pb.txt
0,-48401.9281,-4558.78,-39248.5137,-4692.5166,97.8855,1b5i-pro-pb.txt
0,-48293.7355,-4557.56,-38967.1425,-4865.9294,96.9015,1b5j-pro-pb.txt
0,-48447.3229,-4471.19,-39155.5656,-4917.95,97.3884,1b6h-pro-pb.txt
0,-48362.3968,-4460.98,-39049.6041,-4950.618,98.815,1b7h-pro-pb.txt
0,-24391.539,-2632.34,-18983.1797,-2834.9625,58.9482,1b8n-pro-pb.txt
0,-48290.7827,-4540.13,-38915.6423,-4933.6219,98.6176,1b9j-pro-pb.txt
